OBJECTID,Orszag_nev,Telepules_nev,Telepulesresz_nev,Tortenelmi_varosresz_nev,Fekves,Epulettipus,Epulet_altipus,Funkcio,Intezmenynev,Hazszam,Epulet_betujel,Helyrajziszam_teljes_epulet,Helyrajziszam_egyedi_epulet,Utcanev_epulet,Muemlek_nev,Muemlek_tipus,Muemlek_torzsszam,Epuletenergetikai_tipus,Epuletenergetikai_szintszam,Epuletenergetikai_tombazonosito,Aga_est,Abm_est,Ath_est,Ael_est,Aelcs_est,Asz_est,Aol_est,Tn_Tbr,E0,Evil,Ee_cs,Evil_cs,Tbr,Ter,Muemleki_vedettseg,Tortenelmi_varosresz_nev_modositott,Iranyitoszam,KSH_korzet,Epulet_azonosito,Hazszam_epulettomb,Epulet_szamozas_egyeb,Postacim_epulet,Shape_Length,Shape_Area
63765,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,36,,200/26,HUN_Szarvaskő_200/26,Tölgyfa utca,,,,L3,1.8,Szarvaskő_001,0.5,0.5,0,0,0,0,0,0.75,330,10,120,8,392.4270000296384,294.32025002222883,nem,,3323,Szarvaskő,Szarvaskő_00322,,,"Szarvaskő, Tölgyfa utca 36",64.40522243525554,218.0150000164658
63766,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,27,,216/1,HUN_Szarvaskő_216/1,Tölgyfa utca,,,,L1,1,Szarvaskő_021,0.5,0.5,0,0,0,0,0,0.75,450,10,120,8,99.95000001136214,74.9625000085216,nem,,3323,Szarvaskő,Szarvaskő_00323,,,"Szarvaskő, Tölgyfa utca 27",39.99801357884434,99.95000001136214
63767,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,33,,276,HUN_Szarvaskő_276,Rózsa utca,,,,L3,2.3,Szarvaskő_024,0.5,0.5,0,0,0,0,0,0.75,330,10,120,8,345.1839999793507,258.88799998451304,nem,,3323,Szarvaskő,Szarvaskő_00324,,,"Szarvaskő, Rózsa utca 33",55.21569600711863,150.07999999102205
63768,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,25,,219,HUN_Szarvaskő_219,Rózsa utca,,,,L3,1,Szarvaskő_021,0.5,0.5,0,0,0,0,0,0.75,330,10,120,8,71.42000000059605,53.565000000447036,nem,,3323,Szarvaskő,Szarvaskő_00325,,,"Szarvaskő, Rózsa utca 25",34.37252275531577,71.42000000059605
63769,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,22,,244,HUN_Szarvaskő_244,Rózsa utca,,,,L4,1.5,Szarvaskő_023,0.5,0.5,0,0,0,0,0,0.75,220,10,120,8,95.79750001380219,71.84812501035165,nem,,3323,Szarvaskő,Szarvaskő_00326,,,"Szarvaskő, Rózsa utca 22",34.17599985766239,63.86500000920147
63770,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,35,,275,HUN_Szarvaskő_275,Rózsa utca,,,,L1,1.5,Szarvaskő_024,0.5,0.5,0,0,0,0,0,0.75,450,10,120,8,106.7700000094436,80.0775000070827,nem,,3323,Szarvaskő,Szarvaskő_00327,,,"Szarvaskő, Rózsa utca 35",35.176364950639446,71.18000000629574
63771,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,,,215,HUN_Szarvaskő_215,Tölgyfa utca,,,,,,Szarvaskő_021,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00328,,,,45.63822703167509,55.21499999262392
63772,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,28,,247,HUN_Szarvaskő_247,Rózsa utca,,,,L4,1.8,Szarvaskő_023,0.5,0.5,0,0,0,0,0,0.75,220,10,120,8,103.14000001810491,77.35500001357869,nem,,3323,Szarvaskő,Szarvaskő_00329,,,"Szarvaskő, Rózsa utca 28",31.133261079070287,57.300000010058284
63773,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,,,215,HUN_Szarvaskő_215,Tölgyfa utca,,,,,,Szarvaskő_021,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00330,,,,16.091307924953142,15.700000004842877
63774,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,25,,215,HUN_Szarvaskő_215,Tölgyfa utca,,,,L1,1,Szarvaskő_021,0.5,0.5,0,0,0,0,0,0.75,450,10,120,8,107.56500000473112,80.67375000354834,nem,,3323,Szarvaskő,Szarvaskő_00331,,,"Szarvaskő, Tölgyfa utca 25",43.91756382582397,107.56500000473112
63775,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,,,215,HUN_Szarvaskő_215,Tölgyfa utca,,,,,,Szarvaskő_021,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00332,,,,17.728417404066654,19.080000001639128
63776,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,,,215,HUN_Szarvaskő_215,Tölgyfa utca,,,,,,Szarvaskő_021,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00333,,,,30.822793918434886,52.77999997928738
63777,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,37,,274,HUN_Szarvaskő_274,Rózsa utca,,,,L1,1,Szarvaskő_024,0.5,0.5,0,0,0,0,0,0.75,450,10,120,8,58.78999999783933,44.092499998379495,nem,,3323,Szarvaskő,Szarvaskő_00334,,,"Szarvaskő, Rózsa utca 37",32.96023452085308,58.78999999783933
63778,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,20,,243,HUN_Szarvaskő_243,Rózsa utca,,,,L2,2.3,Szarvaskő_023,0.5,0.5,0,0,0,0,0,0.75,400,10,120,8,187.10500005397947,140.3287500404846,nem,,3323,Szarvaskő,Szarvaskő_00335,,,"Szarvaskő, Rózsa utca 20",37.07865436409281,81.35000002346933
