OBJECTID;Orszag_nev;Telepules_nev;Telepulesresz_nev;Tortenelmi_varosresz_nev;Fekves;Helyrajziszam_teljes;Helyrajziszam_egyedi;Muvelesiag;Utcanev;Utcanev_telek;Kozut_szama;Vasut_szama;Hazszam_telek;Vedett_terulet_nev;Vedett_terulet_kategoria;Natura2000_SCI_kod;Natura2000_SCI_nev;Natura2000_SPA_kod;Natura2000_SPA_nev;Dulo_OEM_borvidek_nev;Dulo_OEM_kod;Dulo_OEM_nev;Epuletenergetikai_tombazonosito;Tortenelmi_varosresz_nev_modositott;Iranyitoszam;KSH_korzet;Postacim_rovid;Shape_Length;Shape_Area
91395;Magyarország;Szarvaskő;;;belterület;173/7;HUN_Szarvaskő_173/7;művelés alól kivett;;Vasút utca;;;;Bükki Nemzeti Park;nemzeti park;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_016;;3323;Szarvaskő;;119,160271743374810;897,959999949075380
91396;Magyarország;Szarvaskő;;;belterület;174;HUN_Szarvaskő_174;művelés alól kivett;;Vasút utca;;;;;;;;;;;;;;;3323;Szarvaskő;;638,302502779152410;6047,264504996344800
91397;Magyarország;Szarvaskő;;;belterület;175;HUN_Szarvaskő_175;művelés alól kivett;;Egri utca;;;;;;;;;;;;;Szarvaskő_017;;3323;Szarvaskő;;168,252901916713710;1750,369999872259800
91398;Magyarország;Szarvaskő;;;belterület;176;HUN_Szarvaskő_176;művelés alól kivett;;Egri utca;;;;;;;;;;;;;Szarvaskő_017;;3323;Szarvaskő;;168,861116644000930;1776,960000011660200
91399;Magyarország;Szarvaskő;;;belterület;177;HUN_Szarvaskő_177;művelés alól kivett;;Egri utca;;;;Bükki Nemzeti Park;nemzeti park;;;;;;;;Szarvaskő_017;;3323;Szarvaskő;;158,624643247621090;1544,199999921955200
91400;Magyarország;Szarvaskő;;;belterület;179;HUN_Szarvaskő_179;művelés alól kivett;;Egri utca;;;;Bükki Nemzeti Park;nemzeti park;;;;;;;;Szarvaskő_017;;3323;Szarvaskő;;174,622930861176430;1882,975000044331000
91401;Magyarország;Szarvaskő;;;belterület;18;HUN_Szarvaskő_18;művelés alól kivett;;Fő utca;;;;;;;;;;;;;Szarvaskő_007;;3323;Szarvaskő;;136,441805995456260;819,200000037252830
91402;Magyarország;Szarvaskő;;;belterület;180;HUN_Szarvaskő_180;művelés alól kivett;;Egri utca;;;;Bükki Nemzeti Park;nemzeti park;;;;;;;;Szarvaskő_017;;3323;Szarvaskő;;176,026693895728160;1855,575000036880300
91403;Magyarország;Szarvaskő;;;belterület;181;HUN_Szarvaskő_181;művelés alól kivett;;Egri utca;;;;Bükki Nemzeti Park;nemzeti park;;;;;;;;Szarvaskő_017;;3323;Szarvaskő;;186,810830065463160;2061,935000023208400
91404;Magyarország;Szarvaskő;;;belterület;182;HUN_Szarvaskő_182;művelés alól kivett;;Egri utca;;;1;Bükki Nemzeti Park;nemzeti park;;;;;;;;Szarvaskő_017;;3323;Szarvaskő;;242,462397546651320;3443,954999811463000
91405;Magyarország;Szarvaskő;;;belterület;183;HUN_Szarvaskő_183;művelés alól kivett;;Egri utca;;;3;Bükki Nemzeti Park;nemzeti park;;;;;;;;Szarvaskő_017;;3323;Szarvaskő;;181,021112925881540;1946,255000061243900
91406;Magyarország;Szarvaskő;;;belterület;184;HUN_Szarvaskő_184;művelés alól kivett;Egri utca;;;;;;;;;;;;;;Szarvaskő_017;;3323;Szarvaskő;;55,424954533879195;99,334999991357321
91407;Magyarország;Szarvaskő;;;belterület;185;HUN_Szarvaskő_185;művelés alól kivett;;;;;;;;;;;;;;;;;3323;Szarvaskő;;1525,804446851581400;12084,170725771697000
91408;Magyarország;Szarvaskő;;;belterület;186;HUN_Szarvaskő_186;művelés alól kivett;;Egri utca;;;5;;;;;;;;;;Szarvaskő_018;;3323;Szarvaskő;;140,712280472342570;1173,960000001229200
91409;Magyarország;Szarvaskő;;;belterület;187;HUN_Szarvaskő_187;művelés alól kivett;;Egri utca;;;7;;;;;;;;;;Szarvaskő_018;;3323;Szarvaskő;;129,372479887030920;1039,680000049322900
91410;Magyarország;Szarvaskő;;;belterület;188;HUN_Szarvaskő_188;művelés alól kivett;;Egri utca;;;;;;;;;;;;;Szarvaskő_018;;3323;Szarvaskő;;138,252012678216000;1186,399999968707600
91411;Magyarország;Szarvaskő;;;belterület;189;HUN_Szarvaskő_189;művelés alól kivett;;Egri utca;;;;;;;;;;;;;Szarvaskő_018;;3323;Szarvaskő;;145,339221865762800;1321,124999906867700
91412;Magyarország;Szarvaskő;;;belterület;19;HUN_Szarvaskő_19;művelés alól kivett;;;;;;;;;;;;;;;;;3323;Szarvaskő;;202,475821043986770;382,739944955932630
91413;Magyarország;Szarvaskő;;;belterület;190;HUN_Szarvaskő_190;művelés alól kivett;;Egri utca;;;;;;;;;;;;;Szarvaskő_018;;3323;Szarvaskő;;121,694068155023490;875,160000062137900
91414;Magyarország;Szarvaskő;;;belterület;191;HUN_Szarvaskő_191;művelés alól kivett;;Egri utca;;;;;;;;;;;;;;;3323;Szarvaskő;;81,095575118092739;257,655000005923230
91415;Magyarország;Szarvaskő;;;belterület;192;HUN_Szarvaskő_192;művelés alól kivett;;Egri utca;;;;;;;;;;;;;;;3323;Szarvaskő;;119,752326315746610;844,610000010170100
91416;Magyarország;Szarvaskő;;;belterület;193;HUN_Szarvaskő_193;művelés alól kivett;;Egri utca;;;;;;;;;;;;;;;3323;Szarvaskő;;122,531033916591040;380,040000007525070
91417;Magyarország;Szarvaskő;;;belterület;194/1;HUN_Szarvaskő_194/1;művelés alól kivett;Egri utca;;25;;;;;;;;;;;;;;3323;Szarvaskő;;1717,644177211724600;12719,046617334076000
